#,text,label
1,"Formula Student will celebrate its 20th anniversary by introducing an autonomous software component to the competition for the first time. Held at Silverstone, this yearâ€™s event will see 130 student teams from over 30 countries take part in July. Teams are challenged to design and build single-seat race cars which are tested on speed, acceleration and endurance, while the students themselves are judged on their design, costing and business presentation skills. This year will see autonomous driving make its debut at the competition with FS-AI. Some of the teams will be tasked with developing a cost-effective software package to enable an Artificial Intelligence (AI) car to make its own decisions, and evolve to improve its own performance. FS-AI has been introduced to ensure that Formula Student keeps pace with the demands of the automotive industry, providing mechanical engineering students with real-world experience of integrated electronics, software and systems engineering.",1
2,Your user agent has been blocked from this site.  It appears unusual / abusive traffic has been arriving using your user agent. Robots should follow all instructions including honoring robots.txt and properly following links. If you feel this is an error please contact shardin@aimmediaindiana.com for review,0
3,"WASHINGTON (Reuters) - U.S. Transportation Secretary Elaine Chao said on Thursday that  regulators will seek public input on rules for self-driving commercial vehicles and trains, as the administration grapples with how to regulate their expected future use.  At a speech in Washington, Chao said the Federal Motor Carrier Safety Administration was asking for public comment on regulations that need revising or eliminating to â€œfacilitate the safe introduction of automated technology on commercial motor vehiclesâ€ like large trucks.  In addition, the Federal Railroad Administration â€œis requesting information and comment on the future of automation in the railroad industry.â€  Officials are also weighing how self-driving vehicles will impact ports and other transportation issues.  General Motors Co, Alphabet Inc, and many other companies are pursuing self-driving car technologies and want Congress and regulators to remove legal barriers to the vehicles. ",1
5,"Uber launches self-driving pilot in San Francisco with Volvo Cars The nation's most populous state is taking drivers out of cars, but not out of the equation entirely. California regulators approved Monday rules that will remove the requirement for a human to be in the driver's seat for backup. Instead, companies like Google's Waymo self-driving cars division will have to be able to operate vehicles remotely. Essentially, California has turned self-driving cars into drones like those the military uses. The new rules take effect April 2. MORE: The different levels of self-driving cars, explained â€œThis is a major step forward for autonomous technology in California,â€ said Jean Shiomoto, director of the California Department of Motor Vehicles. â€œSafety is our top concern and we are ready to begin working with manufacturers that are prepared to test fully driverless vehicles in California.â€",1
6,The page you are looking for doesn't exist.Click here to reach the Euronews homepage,0
7," The company is partnering with Domino's Pizza and others to see how consumers react.  DETROIT â€” Ford Motor Co. is making Miami-Dade County its new test area for self-driving vehicles. The automaker and its partners â€“ Dominoâ€™s Pizza, ride-hailing company Lyft and delivery company Postmates â€“ are starting pilot programs to see how consumers react to autonomous and semi-autonomous vehicles. Self-driving startup and Ford partner Argo AI already has a fleet of cars in the area making the highly detailed maps that are necessary for self-driving. Ford also will establish its first-ever autonomous vehicle terminal in Miami, where it will learn how to service and deploy its test fleet. More services will likely be introduced as the partnership goes on, including Chariot, an app-based shuttle service owned by Ford. Itâ€™s all part of Fordâ€™s effort to find viable business models for fully autonomous vehicles and get them on the road by 2021.",1
9,"Fr Arturo Sosa-the Superior General of Jesuits in Rome visiting Mangaluru (â€˜Rome of the Eastâ€™) on 1 March, where he will address the staff, the Alumni and collaborators of St Aloysius Institutions-Mangaluru on Thursday, at 3 pm Mangaluru: Fr Arturo Marcelino Sosa Abascal SJ, the thirty-first and present Superior General of the Society of Jesus, the largest male religious institute in the Roman Catholic Church, which also manages St Aloysius Institutions-Mangaluru will be visiting the â€œRome of the Eastâ€ (Mangaluru) from Rome, the Headquarters of Jesuit Congregation, on Thursday 1 March 2018. As a Venezuelan, he was the first Latin American person to lead the Society of Jesus. He was elected Superior General of over seventeen thousand Jesuits across the world by the Societyâ€™s 36th General Congregation on 14 October 2016, succeeding Adolfo NicolÃ¡s PachÃ³n, S.J., who served as Superior General for eight years. It is learnt that this is Fr Sosaâ€™s first visit to Mangaluru.",2
11,"Message of â€˜Reconciliation & Justiceâ€™ was delivered during a speech by Jesuits Superior General Fr Arturo Sosa to Aloysians during a programme arranged on his visit to St Aloysius Institutions-Mangaluru at Loyola Hall, SAC-Mangaluru on Thursday, 1 March 2018. Mangaluru: He Came, He Saw, He Conquered the hearts of hundreds of Alumni of St Aloysius Institutions, the present staff and students od SAC, the Jesuit Fathers of SAC, who had all gathered to welcome him on his First visit to the â€œRome of the Eastâ€- the hearty and thunderous welcome to Fr Arturo Marcelino Sosa Abascal SJ, the thirty-first and present Superior General of the Society of Jesus, the largest male religious institute in the Roman Catholic Church, was marked by school band in attendance, guard of honor from the NCC cadets, Pili Vesha Dance, Local Traditional Dance, Classical dance-and of course, he was traditionally welcomed with Indian Culture by the ladies in colorful saree attire.",2
12,"The page may have moved, you may have mistyped the address, or followed a bad link. Visit our homepage, or search for whatever you were looking forâ€¦",0
14,"We can't find the page you are looking for, we're terribly sorry, but these things happen. To find something youâ€™ll like, click a category above or use the search box.",0
